ID,Code,Day,Type,Date,Start,Stop,Room,Occupancy,O_Activity,Tset,Fans,Lights,Curtains,Windows,Mdoors,Bdoors,Success,Reason
BRD1G1,ACRun25,1,Gap,09-06-2015,10:30,11:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD1A1,AllClose,1,Activity,09-06-2015,11:00,12:00,BR,0,,25,0,0,0,0,0,0,0,No power data directly from Z-Wave Sensor
LRD1G1,ACRun25,1,Gap,09-06-2015,10:30,11:00,LR,1,Moving,25,0,0,0,0,0,0,-1,
LRD1A1,AllClose,1,Activity,09-06-2015,11:00,12:00,LR,0,,25,0,0,0,0,0,0,0,Data collected at 25C instead of 28C
BRD1G2,ACRun25,1,Gap,09-06-2015,12:00,12:30,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD1A2,MainDoor50,1,Activity,09-06-2015,12:30,13:30,BR,0,,25,0,0,0,0,0.5,0,0,No power data directly from Z-Wave Sensor
LRD1G2,ACRun25,1,Gap,09-06-2015,12:00,12:30,LR,1,Moving,25,0,0,0,0,0,0,-1,
LRD1A2,MainDoor50,1,Activity,09-06-2015,12:30,13:30,LR,0,,25,0,0,0,0,0.5,0,0,Data collected at 25C instead of 28C
BRD1G3,ACRun25,1,Gap,09-06-2015,13:30,14:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD1A3,FansOn,1,Activity,09-06-2015,14:00,15:00,BR,0,,25,1,0,0,0,0,0,0,Main door was a little bit open
LRD1G3,ACRun28,1,Gap,09-06-2015,13:30,14:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD1A3,FansOn,1,Activity,09-06-2015,14:00,15:00,LR,0,,28,1,0,0,0,0,0,1,
BRD1G4,ACRun25,1,Gap,09-06-2015,15:00,15:30,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD1A4,OccSleep,1,Activity,09-06-2015,15:30,16:30,BR,1,Sleeping,25,0,0,0,0,0,0,1,No power data directly from Z-Wave Sensor
LRD1G4,ACOff,1,Gap,09-06-2015,15:00,15:30,LR,1,Moving,0,0,0,0,0,0,0,-1,
LRD1A4,T18,1,Activity,09-06-2015,15:30,16:30,LR,0,,18,0,0,0,0,0,0,1,
BRD1G5,ACRun25,1,Gap,09-06-2015,16:30,17:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD1A5,OccWork,1,Activity,09-06-2015,17:00,18:00,BR,1,Working,25,0,1,0,0,0,0,1,No power data directly from Z-Wave Sensor
LRD1G5,ACOff,1,Gap,09-06-2015,16:30,17:00,LR,1,Moving,0,0,0,0,0,0,0,-1,
LRD1A5,T24,1,Activity,09-06-2015,17:00,18:00,LR,0,,24,0,0,0,0,0,0,1,
BRD1G6,ACOff,1,Gap,09-06-2015,18:00,18:30,BR,1,Moving,0,0,0,0,0,0,0,-1,
BRD1A6,T18,1,Activity,09-06-2015,18:30,19:30,BR,0,,18,0,0,0,0,0,0,1,
LRD1G6,ACRun28,1,Gap,09-06-2015,18:00,18:30,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD1A6,OccSleep,1,Activity,09-06-2015,18:30,19:30,LR,1,Sleeping,28,0,0,0,0,0,0,1,
BRD1G7,ACOff,1,Gap,09-06-2015,19:30,20:00,BR,1,Moving,0,0,0,0,0,0,0,-1,
BRD1A7,T24,1,Activity,09-06-2015,20:00,21:00,BR,0,,24,0,0,0,0,0,0,1,
LRD1G7,ACRun28,1,Gap,09-06-2015,19:30,20:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD1A7,OccWork,1,Activity,09-06-2015,20:00,21:00,LR,1,Working,28,0,1,0,0,0,0,1,
BRD2G1,ACRun25,2,Gap,10-06-2015,10:30,11:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD2A1,MainDoor100,2,Activity,10-06-2015,11:00,12:00,BR,0,,25,0,0,0,0,1,0,0,AC was On for the whole night due to which initial cycles were small
LRD2G1,ACRun28,2,Gap,10-06-2015,10:30,11:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD2A1,MainDoor100,2,Activity,10-06-2015,11:00,12:00,LR,0,,28,0,0,0,0,1,0,1,
BRD2G2,ACRun25,2,Gap,10-06-2015,12:00,12:30,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD2A2,Window50,2,Activity,10-06-2015,12:30,13:30,BR,0,,25,0,0,0,0.5,0,0,0,Both the bathroom doors got opened
LRD2G2,ACRun28,2,Gap,10-06-2015,12:00,12:30,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD2A2,Window50,2,Activity,10-06-2015,12:30,13:30,LR,0,,28,0,0,0,0.5,0,0,1,
BRD2G3,ACRun25,2,Gap,10-06-2015,13:30,14:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD2A3,CurtainsOn,2,Activity,10-06-2015,14:00,15:00,BR,0,,25,0,0,1,0,0,0,1,
LRD2G3,ACRun28,2,Gap,10-06-2015,13:30,14:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD2A3,CurtainsOn,2,Activity,10-06-2015,14:00,15:00,LR,0,,28,0,0,1,0,0,0,1,
BRD2G4,ACRun25,2,Gap,10-06-2015,15:00,15:30,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD2A4,MultipleOccMove,2,Activity,10-06-2015,15:30,16:30,BR,3,Moving,25,0,1,0,0,0,0,0,Manoj and Alvika Ð No data from BRL2 sensor for the period
LRD2G4,ACOff,2,Gap,10-06-2015,15:00,15:30,LR,1,Moving,0,0,0,0,0,0,0,-1,
LRD2A4,T20,2,Activity,10-06-2015,15:30,16:30,LR,0,,20,0,0,0,0,0,0,1,
BRD2G5,ACRun25,2,Gap,10-06-2015,16:30,17:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD2A5,MultipleOccWork,2,Activity,10-06-2015,17:00,18:00,BR,3,Working,25,0,1,0,0,0,0,0,Manoj and Alvika Ð No data from BRL2 sensor for the period
LRD2G5,ACOff,2,Gap,10-06-2015,16:30,17:00,LR,1,Moving,0,0,0,0,0,0,0,-1,
LRD2A5,T27,2,Activity,10-06-2015,17:00,18:00,LR,0,,27,0,0,0,0,0,0,1,
BRD2G6,ACOff,2,Gap,10-06-2015,18:00,18:30,BR,1,Moving,0,0,0,0,0,0,0,-1,
BRD2A6,T20,2,Activity,10-06-2015,18:30,19:30,BR,0,,20,0,0,0,0,0,0,0,No data from BRL2 sensor for the period
LRD2G6,ACRun28,2,Gap,10-06-2015,18:00,18:30,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD2A6,MultipleOccSit,2,Activity,10-06-2015,18:30,19:30,LR,3,Sitting,28,0,1,0,0,0,0,1,Anil and Vandana
BRD2G7,ACOff,2,Gap,10-06-2015,19:30,20:00,BR,1,Moving,0,0,0,0,0,0,0,-1,
BRD2A7,T27,2,Activity,10-06-2015,20:00,21:00,BR,0,,27,0,1,0,0,0,0,0,Lights were On
LRD2G7,ACRun28,2,Gap,10-06-2015,19:30,20:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD2A7,MultipleOccWork,2,Activity,10-06-2015,20:00,21:00,LR,3,Working,28,0,1,0,0,0,0,1,Anil and Vandana
BRD3G1,ACRun25,3,Gap,11-06-2015,10:30,11:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD3A1,Window100,3,Activity,11-06-2015,11:00,12:00,BR,0,,25,0,0,0,1,0,0,1,
LRD3G1,ACRun28,3,Gap,11-06-2015,10:30,11:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD3A1,Window100,3,Activity,11-06-2015,11:00,12:00,LR,0,,28,0,0,0,1,0,0,1,
BRD3G2,ACRun25,3,Gap,11-06-2015,12:00,12:30,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD3A2,SecondaryDoor50,3,Activity,11-06-2015,12:30,13:30,BR,0,,25,0,0,0,0,0,0.5,1,
LRD3G2,ACRun28,3,Gap,11-06-2015,12:00,12:30,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD3A2,SecondaryDoor50,3,Activity,11-06-2015,12:30,13:30,LR,0,,28,0,0,0,0,0,0.5,1,
BRD3G3,ACRun25,3,Gap,11-06-2015,13:30,14:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD3A3,LightsOn,3,Activity,11-06-2015,14:00,15:00,BR,0,,25,0,1,0,0,0,0,1,
LRD3G3,ACRun28,3,Gap,11-06-2015,13:30,14:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD3A3,LightsOn,3,Activity,11-06-2015,14:00,15:00,LR,0,,28,0,1,0,0,0,0,1,
BRD3G4,ACRun25,3,Gap,11-06-2015,15:00,15:30,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD3A4,OccSit,3,Activity,11-06-2015,15:30,16:30,BR,1,Sit,25,0,1,0,0,0,0,0,Power Cut
LRD3G4,ACOff,3,Gap,11-06-2015,15:00,15:30,LR,1,Moving,0,0,0,0,0,0,0,-1,
LRD3A4,T22,3,Activity,11-06-2015,15:30,16:30,LR,0,,22,0,0,0,0,0,0,0,Power Cut
BRD3G5,ACRun25,3,Gap,11-06-2015,16:30,17:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD3A5,MultipleOccSit,3,Activity,11-06-2015,17:00,18:00,BR,3,Sitting,25,0,1,0,0,0,0,1,Anil and Vandana
LRD3G5,ACOff,3,Gap,11-06-2015,16:30,17:00,LR,1,Moving,0,0,0,0,0,0,0,-1,
LRD3A5,T28,3,Activity,11-06-2015,17:00,18:00,LR,0,,28,0,0,0,0,0,0,1,
BRD3G6,ACOff,3,Gap,11-06-2015,18:00,18:30,BR,1,Moving,0,0,0,0,0,0,0,-1,
BRD3A6,T22,3,Activity,11-06-2015,18:30,19:30,BR,0,,22,0,0,0,0,0,0,0,Power Cut
LRD3G6,ACRun28,3,Gap,11-06-2015,18:00,18:30,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD3A6,MultipleOccMove,3,Activity,11-06-2015,18:30,19:30,LR,3,Moving,28,0,1,0,0,0,0,0,Anil and Vandana Ð Power Cut
BRD3G7,ACOff,3,Gap,11-06-2015,19:30,20:00,BR,1,Moving,0,0,0,0,0,0,0,-1,
BRD3A7,T28,3,Activity,11-06-2015,20:00,21:00,BR,0,,28,0,0,0,0,0,0,1,
LRD3G7,ACRun28,3,Gap,11-06-2015,19:30,20:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD3A7,OccSit,3,Activity,11-06-2015,20:00,21:00,LR,1,Sitting,28,0,1,0,0,0,0,1,
BRD4G1,ACRun25,4,Gap,12-06-2015,10:30,11:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD4A1,SecondaryDoor100,4,Activity,12-06-2015,11:00,12:00,BR,0,,25,0,0,0,0,0,1,1,
LRD4G1,ACRun28,4,Gap,12-06-2015,10:30,11:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD4A1,SecondaryDoor100,4,Activity,12-06-2015,11:00,12:00,LR,0,,28,0,0,0,0,0,1,1,
BRD4G2,ACRun25,4,Gap,12-06-2015,12:00,12:30,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD4A2,AllOpen,4,Activity,12-06-2015,12:30,13:30,BR,0,,25,0,0,0,1,1,1,1,
LRD4G2,ACRun28,4,Gap,12-06-2015,12:00,12:30,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD4A2,AllOpen,4,Activity,12-06-2015,12:30,13:30,LR,0,,28,0,0,0,1,1,1,1,
BRD4G3,ACRun25,4,Gap,12-06-2015,13:30,14:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD4A3,WetClothes,4,Activity,12-06-2015,14:00,15:00,BR,0,,25,0,0,0,0,0,0,1,
LRD4G3,ACRun28,4,Gap,12-06-2015,13:30,14:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD4A3,WetClothes,4,Activity,12-06-2015,14:00,15:00,LR,0,,28,0,0,0,0,0,0,1,
BRD4G4,ACRun25,4,Gap,12-06-2015,15:00,15:30,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD4A4,OccMove,4,Activity,12-06-2015,15:30,16:30,BR,1,Moving,25,0,1,0,0,0,0,1,
LRD4G4,ACOff,4,Gap,12-06-2015,15:00,15:30,LR,1,Moving,0,0,0,0,0,0,0,-1,
LRD4A4,T25,4,Activity,12-06-2015,15:30,16:30,LR,0,,25,0,0,0,0,0,0,1,
BRD4G5,ACRun25,4,Gap,12-06-2015,16:30,17:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD4A5,OccExercise,4,Activity,12-06-2015,17:00,18:00,BR,1,Exercise,25,0,1,0,0,0,0,1,
LRD4G5,ACOff,4,Gap,12-06-2015,16:30,17:00,LR,1,Moving,0,0,0,0,0,0,0,-1,
LRD4A5,T30,4,Activity,12-06-2015,17:00,18:00,LR,0,,28,0,0,0,0,0,0,1,
BRD4G6,ACOff,4,Gap,12-06-2015,18:00,18:30,BR,1,Moving,0,0,0,0,0,0,0,-1,
BRD4A6,T25,4,Activity,12-06-2015,18:30,19:30,BR,0,,22,0,0,0,0,0,0,1,
LRD4G6,ACRun28,4,Gap,12-06-2015,18:00,18:30,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD4A6,OccMove,4,Activity,12-06-2015,18:30,19:30,LR,1,Exercise,28,0,1,0,0,0,0,1,
BRD4G7,ACOff,4,Gap,12-06-2015,19:30,20:00,BR,1,Moving,0,0,0,0,0,0,0,-1,
BRD4A7,T30,4,Activity,12-06-2015,20:00,21:00,BR,0,,28,0,0,0,0,0,0,1,
LRD4G7,ACRun28,4,Gap,12-06-2015,19:30,20:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD4A7,OccExercise,4,Activity,12-06-2015,20:00,21:00,LR,1,Moving,28,0,1,0,0,0,0,1,
BRD5G1,ACRun25,5,Gap,13-06-2015,10:30,11:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD5A1,Window50,5,Activity,13-06-2015,11:00,12:00,BR,0,,25,0,0,0,0.5,0,0,1,
LRD5G1,ACRun28,5,Gap,13-06-2015,10:30,11:00,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD5A1,AllClose,5,Activity,13-06-2015,11:00,12:00,LR,0,,28,0,0,0,0,0,0,1,
BRD5G2,ACRun25,5,Gap,13-06-2015,12:00,12:30,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD5A2,MainDoor100,5,Activity,13-06-2015,12:30,13:30,BR,0,,25,0,0,0,0,1,0,1,
LRD5G2,ACRun28,5,Gap,13-06-2015,12:00,12:30,LR,1,Moving,28,0,0,0,0,0,0,-1,
LRD5A2,MainDoor50,5,Activity,13-06-2015,12:30,13:30,LR,0,,28,0,0,0,0,0.5,0,1,
BRD5G3,ACRun25,5,Gap,13-06-2015,13:30,14:00,BR,1,Moving,25,0,0,0,0,0,0,-1,
BRD5A3,FansOn,5,Activity,13-06-2015,14:00,15:00,BR,0,,25,1,0,0,0,0,0,1,
LRD5G3,ACRun28,5,Gap,13-06-2015,13:30,14:00,LR,1,Moving,0,0,0,0,0,0,0,-1,
LRD5A3,SfanOn,5,Activity,13-06-2015,14:00,15:00,LR,0,,25,0.5,0,0,0,0,0,-1,
BRD5G4,ACRun30,5,Gap,13-06-2015,15:00,15:30,BR,0,,30,0,0,0,0,0,0,-1,
BRD5A4,T30,5,Activity,13-06-2015,15:30,16:30,BR,0,,30,0,0,0,0,0,0,1,
LRD5G4,ACRun30,5,Gap,13-06-2015,15:00,15:30,LR,0,,30,0,0,0,0,0,0,-1,
LRD5A4,T30,5,Activity,13-06-2015,15:30,16:30,LR,0,,30,0,0,0,0,0,0,1,
BRD5G5,ACRun30,5,Gap,13-06-2015,16:30,17:00,BR,0,,30,0,0,0,0,0,0,-1,
BRD5A5,T30,5,Activity,13-06-2015,17:00,18:00,BR,0,,30,0,0,0,0,0,0,1,
LRD5G5,ACRun30,5,Gap,13-06-2015,16:30,17:00,LR,0,,30,0,0,0,0,0,0,-1,
LRD5A5,T30,5,Activity,13-06-2015,17:00,18:00,LR,0,,30,0,0,0,0,0,0,1,
BRD5G6,ACRun30,5,Gap,13-06-2015,18:00,18:30,BR,0,,30,0,0,0,0,0,0,-1,
BRD5A6,T30,5,Activity,13-06-2015,18:30,19:30,BR,0,,30,0,0,0,0,0,0,1,
LRD5G6,ACRun30,5,Gap,13-06-2015,18:00,18:30,LR,0,,30,0,0,0,0,0,0,-1,
LRD5A6,T30,5,Activity,13-06-2015,18:30,19:30,LR,0,,30,0,0,0,0,0,0,1,
BRD6A1,T18,6,Activity,14-06-2015,11:00,12:00,BR,0,,18,0,0,0,0,0,0,1,
LRD6A1,T18,6,Activity,14-06-2015,11:00,12:00,LR,0,,18,0,0,0,0,0,0,1,
BRD6A2,T20,6,Activity,14-06-2015,12:00,13:00,BR,0,,20,0,0,0,0,0,0,1,
LRD6A2,T20,6,Activity,14-06-2015,12:00,13:00,LR,0,,20,0,0,0,0,0,0,1,
BRD6A3,T22,6,Activity,14-06-2015,13:00,14:00,BR,0,,22,0,0,0,0,0,0,1,
LRD6A3,T22,6,Activity,14-06-2015,13:00,14:00,LR,0,,22,0,0,0,0,0,0,1,
BRD6A4,T24,6,Activity,14-06-2015,14:00,15:00,BR,0,,24,0,0,0,0,0,0,1,
LRD6A4,T24,6,Activity,14-06-2015,14:00,15:00,LR,0,,24,0,0,0,0,0,0,1,
BRD6A5,T25,6,Activity,14-06-2015,15:00,16:00,BR,0,,25,0,0,0,0,0,0,1,
